TYPEHUQ,CDD65,CDD30YR,AIA_Zone,KOWNRENT,YEARMADE,YEARMADERANGE,NUMFLRS,ROOFTYPE,NAPTFLRS,STORIES,BEDROOMS,NCOMBATH,OTHROOMS,TOTROOMS,PRKGPLC1,SIZEOFGARAGE,GARGLOC,OVEN,OVENFUEL,OVENCLN,TYPECLN,OUTGRILL,FUELFOOD,NUMFRIG,SIZRFRI1,ICE,TYPERFR2,SIZRFRI2,REFRIGT2,MONRFRI2,SEPFREEZ,NUMFREEZ,UPRTFRZR,SIZFREEZ,FREEZER,DISHWASH,DWASHUSE,CWASHER,TOPFRONT,WASHLOAD,WASHTEMP,RNSETEMP,DRYER,DRYRFUEL,DRYRUSE,TVCOLOR,TVSIZE2,TVTYPE2,CABLESAT2,TVONWD2,TVONWE2,TVSIZE3,TVTYPE3,CABLESAT3,TVONWD3,TVONWE3,NUMPC,TIMEON2,PCPRINT,ELECDEV,FUELHEAT,HEATOTH,HEATROOM,NUMTHERM,FUELH2O,WHEATOTH,ZWHEATAGE,ZWHEATBKT,AIRCOND,DNTAC,CENACHP,MAINTAC,ACROOMS,USECENAC,THERMAINAC,PROTHERMAC,TEMPHOMEAC,TEMPGONEAC,TEMPNITEAC,NUMCFAN,USECFAN,SWIMPOOL,POOL,LGT4,LGT1,NOUTLGTNT,WINDOWS,USENG,USELP,ELWARM,ELCOOL,ELWATER,ELFOOD,UGWARM,UGWATER,UGCOOK,LPOTHER,PELHEAT,PELHOTWA,PELCOOK,PELAC,PGASHEAT,PGASHTWA,PUGCOOK,SPOUSE,NHSLDMEM,AGEHHMEMCAT2,AGEHHMEMCAT3,MONEYPY,TOTSQFT,TOTSQFT_EN,TOTHSQFT,TOTCSQFT,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,TOTALBTU,TOTALBTUCOL,TOTALBTURFG,TOTALBTUOTH,TOTALDOL,TOTALDOLCOL,TOTALDOLWTH,TOTALDOLRFG,TOTALDOLOTH,KAVALNG,PERIODNG,KWH
4,1405,613,4,2,1950,2,0,1,1,0,2,1,1,3,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,20,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,10,731,731,244,0,373,0.0,0.0,0.0,178.091,194.909,46796,0,4480,8492,761,0,135,178,232,1,1,2750
2,1034,1437,3,1,1968,3,0,6,0,20,3,1,4,7,1,1,1,0,0,1,2,1,1,2,4,0,22,4,2,12,0,0,0,0,0,1,20,1,2,4,2,3,1,1,1,2,2,1,2,2,2,0,0,0,0,0,5,5,5,3,1,0,7,1,1,0,0,0,1,0,0,1,7,2,1,1,73,73,73,5,3,0,0,3,0,0,50,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,3,12,4,24,2185,1935,1935,1456,2154,0.0,245.173,0.0,419.087,1489.74,142273,4585,7838,46530,3666,245,439,419,1767,1,1,11807
2,3890,3895,5,2,1950,2,0,5,0,10,3,2,3,6,0,0,0,0,0,1,1,1,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,1,5,1,4,3,1,1,1,2,1,1,1,1,1,4,2,1,2,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,2,0,0,2,6,0,42,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,2,4,0,15,1387,1387,0,0,2112,0.0,0.0,373.898,246.832,1491.27,33352,0,3898,23550,2112,0,374,247,1491,0,0,9775
5,2139,2252,5,2,1980,5,2,0,1,0,2,2,2,4,0,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,1,13,1,1,3,1,3,1,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,1,5,0,4,1,5,0,0,0,1,0,0,1,4,3,1,1,75,80,75,3,2,0,0,1,1,0,10,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,7,809,809,809,809,718,144.261,100.871,100.015,56.603,316.25,21615,3037,1704,9521,718,101,100,57,316,0,0,6335
5,1122,1328,3,2,1985,5,3,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,3,1,0,72,72,72,0,0,0,0,0,1,0,10,1,0,0,1,0,1,1,1,0,0,0,0,2,2,2,2,0,0,1,0,0,10,411,411,411,411,342,0.0,47.321,0.0,96.17,198.509,53012,1903,3868,7983,684,47,44,96,199,3,5,4031
2,946,895,3,1,1993,6,0,5,0,20,4,2,5,9,1,2,2,0,0,1,2,1,5,2,4,0,22,3,2,12,0,0,0,0,0,1,20,1,1,3,3,3,1,5,1,4,2,1,0,2,3,1,1,1,1,1,3,3,3,2,1,0,9,1,5,0,0,0,1,0,0,0,9,3,1,1,70,72,70,0,0,0,0,2,4,0,42,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,2,12,0,24,4740,4340,3680,3680,1327,0.0,244.207,183.218,167.09,732.486,102132,8175,5594,24521,2112,244,183,167,732,1,1,13020
2,1604,1641,4,1,1963,3,0,5,0,10,3,1,3,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1482,1482,0,247,271,0.0,57.573,0.0,36.894,176.533,7094,1507,966,4621,271,58,0,37,177,0,0,2079
4,845,1130,3,2,1940,1,0,8,1,0,1,1,2,3,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,41,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2,2,2,1,2,9,0,17,592,592,592,0,425,0.0,0.0,0.0,187.577,237.423,80305,0,3730,11262,1474,0,181,188,333,3,5,2477
1,279,410,2,2,1992,6,0,2,0,10,2,2,3,5,0,0,0,0,0,1,2,1,1,1,4,1,0,0,0,0,0,0,0,0,0,1,20,1,1,3,3,3,1,5,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,5,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,41,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,3,4,3,10,1107,1107,1107,0,679,0.0,0.0,0.0,153.085,525.915,99417,0,5290,24767,1293,0,194,153,579,1,1,6877
2,471,651,1,1,1988,5,0,6,0,20,3,3,9,12,1,3,2,0,0,1,1,1,5,2,4,0,3,1,1,12,1,1,2,3,1,1,11,1,1,1,2,3,1,5,1,3,1,2,0,1,1,1,1,0,1,1,0,0,0,1,1,0,12,1,1,0,0,0,1,0,0,0,12,1,1,1,0,0,0,3,1,0,0,0,0,0,42,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,2,13,0,21,3863,3213,3213,3213,1429,0.0,89.792,0.0,205.356,1133.852,123923,2679,6128,33833,2194,90,189,205,1134,1,1,12497
